x,y,z,yaw
89614.2109582,43153.1095289,0,0
89613.8163734,43155.0240282,0,0
89613.6298823,43157.0377329,0,0
89613.6706549,43159.0289712,0,0
89614.0401039,43161.1186796,0,0
89614.8486098,43162.89755,0,0
89616.2579846,43164.1201307,0,0
89618.0716828,43164.7292801,0,0
89620.110197,43164.7628651,0,0
89621.9772891,43164.2080228,0,0
89623.8017827,43163.2690191,0,0
89625.3890772,43162.0893297,0,0
89626.810851,43160.693022,0,0
89628.0504928,43159.1400961,0,0
89629.1012883,43157.4500112,0,0
89629.9477505,43155.6621471,0,0
89630.6202431,43153.7918892,0,0
89631.1719944,43151.8826442,0,0
89631.686295,43149.9513883,0,0
89632.2291783,43148.036485,0,0
89632.8736856,43146.1466634,0,0
89633.690176,43144.3401698,0,0
89634.7346675,43142.6539496,0,0
89635.9994524,43141.172946,0,0
89637.5962234,43139.8476986,0,0
89639.3183931,43138.8572704,0,0
89641.2893263,43138.421849,0,0
89643.1715705,43138.2810286,0,0
89644.8833794,43139.1756198,0,0
89645.8549311,43140.8311763,0,0
89646.3037355,43142.8094516,0,0
89646.3242609,43144.8469476,0,0
89646.0722445,43146.8081918,0,0
89645.5804394,43148.7663479,0,0
89644.8933406,43150.6315751,0,0
89644.0218788,43152.4478941,0,0
89643.0239128,43154.1440156,0,0
89641.9136686,43155.7880539,0,0
89640.7636777,43157.4037231,0,0
89639.591271,43159.0033498,0,0
89638.3784332,43160.5881195,0,0
89637.1334919,43162.1180288,0,0
89635.8182586,43163.6301066,0,0
89634.4600695,43165.0907897,0,0
89633.0429676,43166.5165293,0,0
89631.5962474,43167.8765776,0,0
89630.0923389,43169.2016212,0,0
89628.5657747,43170.4932796,0,0
89627.0940494,43171.7337085,0,0
89625.5936749,43173.0642898,0,0
89624.2181509,43174.4391844,0,0
89622.9507238,43176.1342529,0,0
89622.0619824,43177.8839389,0,0
89621.6755867,43179.7980073,0,0
89621.940658,43181.7189118,0,0
89622.849873,43183.5058518,0,0
89624.2362618,43184.9332776,0,0
89625.8595637,43185.9879252,0,0
89627.8012257,43186.6028831,0,0
89629.8229403,43186.617224,0,0
89631.610808,43186.1883472,0,0
89633.5734232,43185.6319469,0,0
89635.4379274,43184.8447504,0,0
89637.4039049,43184.0200066,0,0
89639.1296384,43183.3341801,0,0
89640.9300523,43182.5063603,0,0
89642.8745652,43182.2372506,0,0
89644.8563256,43182.4265219,0,0
89646.7767765,43182.9242659,0,0
89648.6627158,43183.6073007,0,0
89650.4978824,43184.3573823,0,0
89652.3713744,43185.0829188,0,0
89654.281092,43185.6559651,0,0
89656.3107154,43185.9588042,0,0
89658.2873334,43185.8375216,0,0
89660.0817241,43185.1315349,0,0
89661.4816086,43183.78837,0,0
89662.3326214,43181.9136871,0,0
89662.1119862,43180.074781,0,0
89660.8246497,43178.6437507,0,0
89659.0814004,43177.5185166,0,0
89657.2256228,43176.7748306,0,0
89655.334593,43176.2121034,0,0
89653.5033759,43175.563902,0,0
89651.7500783,43174.6944985,0,0
89650.0785254,43173.546125,0,0
89648.5133682,43172.0682948,0,0
89647.3817099,43170.5107457,0,0
89647.0084529,43168.669576,0,0
89647.035444,43166.7934402,0,0
89647.7977884,43164.8756289,0,0
89648.8843047,43163.1772881,0,0
89650.3532612,43161.8401466,0,0
89652.1010109,43160.8675066,0,0
89654.0021026,43160.3356956,0,0
89655.9830462,43160.2292362,0,0
89658.0257027,43160.6453129,0,0
89659.7580838,43161.4867957,0,0
89661.1830472,43162.5567365,0,0
89662.7872969,43163.9482816,0,0
89664.0450091,43165.5497878,0,0
