x,y,z,yaw
89614.230018,43153.1219333,0,0
89613.9620072,43155.0590934,0,0
89613.8888178,43157.0874386,0,0
89614.0274533,43159.0766627,0,0
89614.4853701,43161.1567451,0,0
89615.3926235,43162.882723,0,0
89616.8259125,43163.8841552,0,0
89618.7164025,43164.3847416,0,0
89620.7271951,43164.1479877,0,0
89622.646509,43163.3827658,0,0
89624.3529257,43162.3413867,0,0
89625.8801337,43161.0780172,0,0
89627.2522823,43159.6373167,0,0
89628.4621114,43158.0455619,0,0
89629.479867,43156.3504671,0,0
89630.3240271,43154.5517684,0,0
89631.0210884,43152.6957393,0,0
89631.6466558,43150.7980876,0,0
89632.2687561,43148.9058171,0,0
89632.9571615,43147.0316523,0,0
89633.7758758,43145.2261007,0,0
89634.7920408,43143.5183512,0,0
89636.0022877,43141.9853767,0,0
89637.4953485,43140.6016047,0,0
89639.2284777,43139.4542522,0,0
89641.1578315,43138.8628265,0,0
89642.9878724,43138.7559844,0,0
89644.7019936,43139.6407985,0,0
89645.6367779,43141.3738255,0,0
89646.0382691,43143.2978998,0,0
89646.0947836,43145.3264454,0,0
89645.9021903,43147.322266,0,0
89645.4863099,43149.296434,0,0
89644.887412,43151.1854541,0,0
89644.0979399,43153.0422536,0,0
89643.1562259,43154.7744132,0,0
89642.0767306,43156.4255799,0,0
89640.9060521,43158.0307139,0,0
89639.6733302,43159.5765192,0,0
89638.3600015,43161.0824464,0,0
89636.996851,43162.5154783,0,0
89635.5625639,43163.912139,0,0
89634.0844064,43165.2577618,0,0
89632.5534359,43166.5675322,0,0
89630.9998544,43167.8202216,0,0
89629.4285984,43169.0301436,0,0
89627.8361032,43170.260222,0,0
89626.4107275,43171.4867511,0,0
89625.0890585,43172.9719649,0,0
89623.9588589,43174.6177875,0,0
89622.9854349,43176.5591211,0,0
89622.3645835,43178.3496398,0,0
89622.1784689,43180.2663169,0,0
89622.6177106,43182.2066783,0,0
89623.7204359,43183.8791678,0,0
89625.2404337,43185.1125697,0,0
89627.0512198,43185.94922,0,0
89629.0384012,43186.1978709,0,0
89630.9700317,43185.8289,0,0
89632.9161285,43185.51846,0,0
89634.7642764,43184.89876,0,0
89636.7373767,43184.2094395,0,0
89638.7360525,43183.6811424,0,0
89640.5205314,43183.1195091,0,0
89642.4420746,43182.8260512,0,0
89644.4382753,43182.945727,0,0
89646.3934313,43183.3238792,0,0
89648.3179341,43183.8537604,0,0
89650.2195652,43184.4403969,0,0
89652.1543343,43185.0004604,0,0
89654.1058935,43185.4280822,0,0
89656.1495222,43185.6236624,0,0
89658.0725896,43185.4621821,0,0
89659.8890579,43184.6960194,0,0
89661.234018,43183.2703552,0,0
89661.8646684,43181.401584,0,0
89661.3145309,43179.7872266,0,0
89659.7234678,43178.3223519,0,0
89657.9736836,43177.3507571,0,0
89656.1212338,43176.5933145,0,0
89654.3386822,43175.8687334,0,0
89652.5408196,43174.9388795,0,0
89650.9432072,43173.8810669,0,0
89649.3441194,43172.4644155,0,0
89648.0329728,43170.8720742,0,0
89647.5048395,43169.0542922,0,0
89647.6005434,43167.282978,0,0
89648.3792356,43165.394914,0,0
89649.5218683,43163.7277282,0,0
89651.0679381,43162.4761758,0,0
89652.8845139,43161.6094658,0,0
89654.8125288,43161.2010246,0,0
89656.8050596,43161.2132184,0,0
89658.8421791,43161.7916661,0,0
89660.4342685,43162.6170974,0,0
89662.1180421,43163.6446027,0,0
89663.5427469,43165.0922012,0,0
89664.9362233,43166.5594328,0,0
89666.6501839,43167.7821324,0,0
89668.2764273,43168.4539059,0,0
89670.2965984,43168.7166566,0,0
89672.2350222,43168.3871529,0,0
89674.1194722,43167.6715985,0,0
89675.803243,43166.568045,0,0
89677.1770823,43165.1364035,0,0
89678.1942817,43163.4372025,0,0
89678.8242872,43161.554815,0,0
89679.0666859,43159.5647249,0,0
89678.8996113,43157.5622925,0,0
89678.3092236,43155.61139,0,0
89677.3203961,43153.9253042,0,0
89675.9608799,43152.5884661,0,0
89674.2902219,43151.5099615,0,0
89672.4772614,43150.6404083,0,0
89670.773337,43149.7995331,0,0
89668.9591128,43148.8285682,0,0
89667.1780394,43147.9768295,0,0
89665.2907394,43147.0645407,0,0
89663.5404585,43146.1364628,0,0
89661.8139627,43145.1123313,0,0
89660.2548644,43144.0109577,0,0
89658.8660753,43142.6760626,0,0
89657.724156,43141.0016557,0,0
89656.961688,43139.1750567,0,0
89656.4386897,43137.222336,0,0
89656.0710599,43135.2619766,0,0
89655.7253506,43133.2564686,0,0
89655.3262449,43131.3060418,0,0
89654.8097205,43129.4297187,0,0
89654.0885719,43127.5577907,0,0
89652.9833785,43125.9073271,0,0
89651.5900162,43124.5397499,0,0
89649.9006057,43123.5519586,0,0
89647.9815452,43123.0062233,0,0
89645.9662869,43122.9069273,0,0
89643.9994797,43123.2009825,0,0
89642.0903564,43123.8145813,0,0
89640.2739548,43124.6418047,0,0
89638.5354964,43125.5698848,0,0
89636.8164102,43126.50449,0,0
89635.036289,43127.4480197,0,0
89633.3457703,43128.3917248,0,0
89631.6219584,43129.4588332,0,0
89629.9694711,43130.5967794,0,0
89628.3491905,43131.8218518,0,0
89626.8458613,43133.0884502,0,0
89625.4133309,43134.4881024,0,0
89624.1411176,43135.9836206,0,0
89622.9773545,43137.5933936,0,0
89621.8901113,43139.2549875,0,0
89620.8353039,43140.9406686,0,0
89619.7717976,43142.635496,0,0
89618.6895488,43144.3069084,0,0
89617.5878726,43145.9749948,0,0
89616.5205248,43147.6447178,0,0
89615.537728,43149.3910593,0,0
89614.7600395,43151.1866812,0,0
89614.230018,43153.1219333,0,0
